Filename,Component,Height,Width
../../DATASET/NTU_PCB/yolo_training/train/EVALAD71244SDZ_T.txt,1,78,135
../../DATASET/NTU_PCB/yolo_training/train/EVALAD71244SDZ_T.txt,1,66,139
../../DATASET/NTU_PCB/yolo_training/train/EVALAD71244SDZ_T.txt,1,69,136
../../DATASET/NTU_PCB/yolo_training/train/EVALAD71244SDZ_T.txt,1,135,75
../../DATASET/NTU_PCB/yolo_training/train/EVALAD71244SDZ_T.txt,1,135,75
../../DATASET/NTU_PCB/yolo_training/train/EVALAD71244SDZ_T.txt,1,153,252
../../DATASET/NTU_PCB/yolo_training/train/EVALAD71244SDZ_T.txt,1,148,254
../../DATASET/NTU_PCB/yolo_training/train/EVALAD71244SDZ_T.txt,1,37,82
../../DATASET/NTU_PCB/yolo_training/train/EVALAD71244SDZ_T.txt,1,145,245
../../DATASET/NTU_PCB/yolo_training/train/EVALAD71244SDZ_T.txt,1,145,249
../../DATASET/NTU_PCB/yolo_training/train/EVALAD71244SDZ_T.txt,1,40,78
../../DATASET/NTU_PCB/yolo_training/train/EVALAD71244SDZ_T.txt,1,40,78
../../DATASET/NTU_PCB/yolo_training/train/EVALAD71244SDZ_T.txt,1,49,87
../../DATASET/NTU_PCB/yolo_training/train/EVALAD71244SDZ_T.txt,1,138,71
../../DATASET/NTU_PCB/yolo_training/train/EVALAD71244SDZ_T.txt,1,127,67
../../DATASET/NTU_PCB/yolo_training/train/EVALAD71244SDZ_T.txt,1,145,248
../../DATASET/NTU_PCB/yolo_training/train/EVALAD71244SDZ_T.txt,1,88,166
../../DATASET/NTU_PCB/yolo_training/train/EVALAD71244SDZ_T.txt,1,168,91
../../DATASET/NTU_PCB/yolo_training/train/EVALAD71244SDZ_T.txt,1,81,37
../../DATASET/NTU_PCB/yolo_training/train/EVALAD71244SDZ_T.txt,1,80,37
../../DATASET/NTU_PCB/yolo_training/train/EVALAD71244SDZ_T.txt,1,75,37
../../DATASET/NTU_PCB/yolo_training/train/EVALAD71244SDZ_T.txt,1,84,43
../../DATASET/NTU_PCB/yolo_training/train/EVALAD71244SDZ_T.txt,1,87,42
../../DATASET/NTU_PCB/yolo_training/train/EVALAD71244SDZ_T.txt,1,83,43
../../DATASET/NTU_PCB/yolo_training/train/EVALAD71244SDZ_T.txt,1,86,42
../../DATASET/NTU_PCB/yolo_training/train/EVALAD71244SDZ_T.txt,1,87,43
../../DATASET/NTU_PCB/yolo_training/train/EVALAD71244SDZ_T.txt,1,81,43
../../DATASET/NTU_PCB/yolo_training/train/EVALAD71244SDZ_T.txt,1,78,39
../../DATASET/NTU_PCB/yolo_training/train/EVALAD71244SDZ_T.txt,1,43,81
../../DATASET/NTU_PCB/yolo_training/train/EVALAD71244SDZ_T.txt,1,43,78
../../DATASET/NTU_PCB/yolo_training/train/EVALAD71244SDZ_T.txt,1,83,39
../../DATASET/NTU_PCB/yolo_training/train/EVALAD71244SDZ_T.txt,1,138,77
../../DATASET/NTU_PCB/yolo_training/train/EVALAD71244SDZ_T.txt,1,148,80
../../DATASET/NTU_PCB/yolo_training/train/EVALAD71244SDZ_T.txt,1,42,87
../../DATASET/NTU_PCB/yolo_training/train/EVALAD71244SDZ_T.txt,1,87,41
../../DATASET/NTU_PCB/yolo_training/train/EVALAD71244SDZ_T.txt,1,43,81
../../DATASET/NTU_PCB/yolo_training/train/EVALAD71244SDZ_T.txt,1,78,140
../../DATASET/NTU_PCB/yolo_training/train/EVALAD71244SDZ_T.txt,1,148,79
../../DATASET/NTU_PCB/yolo_training/train/EVALAD71244SDZ_T.txt,1,40,85
../../DATASET/NTU_PCB/yolo_training/train/EVALAD71244SDZ_T.txt,1,145,74
../../DATASET/NTU_PCB/yolo_training/train/EVALAD71244SDZ_T.txt,1,145,70
../../DATASET/NTU_PCB/yolo_training/train/EVALAD71244SDZ_T.txt,1,42,83
../../DATASET/NTU_PCB/yolo_training/train/EVALAD71244SDZ_T.txt,1,122,117
../../DATASET/NTU_PCB/yolo_training/train/EVALAD71244SDZ_T.txt,1,93,92
../../DATASET/NTU_PCB/yolo_training/train/EVALAD71244SDZ_T.txt,1,90,91
../../DATASET/NTU_PCB/yolo_training/train/EVALAD71244SDZ_T.txt,1,93,91
../../DATASET/NTU_PCB/yolo_training/train/EVALAD71244SDZ_T.txt,0,74,148
../../DATASET/NTU_PCB/yolo_training/train/EVALAD71244SDZ_T.txt,0,66,136
../../DATASET/NTU_PCB/yolo_training/train/EVALAD71244SDZ_T.txt,0,145,70
../../DATASET/NTU_PCB/yolo_training/train/EVALAD71244SDZ_T.txt,0,141,70
../../DATASET/NTU_PCB/yolo_training/train/EVALAD71244SDZ_T.txt,0,69,140
../../DATASET/NTU_PCB/yolo_training/train/EVALAD71244SDZ_T.txt,0,109,55
../../DATASET/NTU_PCB/yolo_training/train/EVALAD71244SDZ_T.txt,0,125,55
../../DATASET/NTU_PCB/yolo_training/train/EVALAD71244SDZ_T.txt,0,135,60
../../DATASET/NTU_PCB/yolo_training/train/EVALAD71244SDZ_T.txt,0,87,43
../../DATASET/NTU_PCB/yolo_training/train/EVALAD71244SDZ_T.txt,0,43,86
../../DATASET/NTU_PCB/yolo_training/train/EVALAD71244SDZ_T.txt,0,42,86
../../DATASET/NTU_PCB/yolo_training/train/EVALAD71244SDZ_T.txt,0,78,144
../../DATASET/NTU_PCB/yolo_training/train/EVALAD71244SDZ_T.txt,0,150,81
../../DATASET/NTU_PCB/yolo_training/train/EVALAD71244SDZ_T.txt,0,44,81
../../DATASET/NTU_PCB/yolo_training/train/EVALAD71244SDZ_T.txt,0,39,85
../../DATASET/NTU_PCB/yolo_training/train/EVALAD71244SDZ_T.txt,0,44,89
../../DATASET/NTU_PCB/yolo_training/train/EVALAD71244SDZ_T.txt,0,46,87
../../DATASET/NTU_PCB/yolo_training/train/EVALAD71244SDZ_T.txt,0,102,197
../../DATASET/NTU_PCB/yolo_training/train/EVALAD71244SDZ_T.txt,0,94,188
../../DATASET/NTU_PCB/yolo_training/train/EVALAD71244SDZ_T.txt,0,46,86
../../DATASET/NTU_PCB/yolo_training/train/EVALAD71244SDZ_T.txt,0,193,98
../../DATASET/NTU_PCB/yolo_training/train/EVALAD71244SDZ_T.txt,0,43,80
../../DATASET/NTU_PCB/yolo_training/train/EVALAD71244SDZ_T.txt,0,40,81
