Filename,Component,Height,Width
../../DATASET/WACV_PCB/yolo_training/train/ML450_Bottom1.txt,1,57,28
../../DATASET/WACV_PCB/yolo_training/train/ML450_Bottom1.txt,1,50,19
../../DATASET/WACV_PCB/yolo_training/train/ML450_Bottom1.txt,1,30,13
../../DATASET/WACV_PCB/yolo_training/train/ML450_Bottom1.txt,1,60,25
../../DATASET/WACV_PCB/yolo_training/train/ML450_Bottom1.txt,1,50,17
../../DATASET/WACV_PCB/yolo_training/train/ML450_Bottom1.txt,1,30,12
../../DATASET/WACV_PCB/yolo_training/train/ML450_Bottom1.txt,1,33,14
../../DATASET/WACV_PCB/yolo_training/train/ML450_Bottom1.txt,1,50,19
../../DATASET/WACV_PCB/yolo_training/train/ML450_Bottom1.txt,1,59,30
../../DATASET/WACV_PCB/yolo_training/train/ML450_Bottom1.txt,1,122,183
../../DATASET/WACV_PCB/yolo_training/train/ML450_Bottom1.txt,1,15,31
../../DATASET/WACV_PCB/yolo_training/train/ML450_Bottom1.txt,1,183,127
../../DATASET/WACV_PCB/yolo_training/train/ML450_Bottom1.txt,1,183,119
../../DATASET/WACV_PCB/yolo_training/train/ML450_Bottom1.txt,1,33,12
../../DATASET/WACV_PCB/yolo_training/train/ML450_Bottom1.txt,1,122,186
../../DATASET/WACV_PCB/yolo_training/train/ML450_Bottom1.txt,1,120,185
../../DATASET/WACV_PCB/yolo_training/train/ML450_Bottom1.txt,1,29,58
../../DATASET/WACV_PCB/yolo_training/train/ML450_Bottom1.txt,1,20,50
../../DATASET/WACV_PCB/yolo_training/train/ML450_Bottom1.txt,1,120,184
../../DATASET/WACV_PCB/yolo_training/train/ML450_Bottom1.txt,1,19,49
../../DATASET/WACV_PCB/yolo_training/train/ML450_Bottom1.txt,1,15,29
../../DATASET/WACV_PCB/yolo_training/train/ML450_Bottom1.txt,1,59,27
../../DATASET/WACV_PCB/yolo_training/train/ML450_Bottom1.txt,1,50,18
../../DATASET/WACV_PCB/yolo_training/train/ML450_Bottom1.txt,1,30,11
../../DATASET/WACV_PCB/yolo_training/train/ML450_Bottom1.txt,1,59,28
../../DATASET/WACV_PCB/yolo_training/train/ML450_Bottom1.txt,1,59,28
../../DATASET/WACV_PCB/yolo_training/train/ML450_Bottom1.txt,1,50,19
../../DATASET/WACV_PCB/yolo_training/train/ML450_Bottom1.txt,1,15,31
../../DATASET/WACV_PCB/yolo_training/train/ML450_Bottom1.txt,1,14,33
../../DATASET/WACV_PCB/yolo_training/train/ML450_Bottom1.txt,1,21,50
../../DATASET/WACV_PCB/yolo_training/train/ML450_Bottom1.txt,1,15,33
../../DATASET/WACV_PCB/yolo_training/train/ML450_Bottom1.txt,1,15,32
../../DATASET/WACV_PCB/yolo_training/train/ML450_Bottom1.txt,1,18,49
../../DATASET/WACV_PCB/yolo_training/train/ML450_Bottom1.txt,1,26,58
../../DATASET/WACV_PCB/yolo_training/train/ML450_Bottom1.txt,1,30,14
../../DATASET/WACV_PCB/yolo_training/train/ML450_Bottom1.txt,1,32,12
../../DATASET/WACV_PCB/yolo_training/train/ML450_Bottom1.txt,1,33,12
../../DATASET/WACV_PCB/yolo_training/train/ML450_Bottom1.txt,1,14,29
../../DATASET/WACV_PCB/yolo_training/train/ML450_Bottom1.txt,1,14,32
../../DATASET/WACV_PCB/yolo_training/train/ML450_Bottom1.txt,1,14,28
../../DATASET/WACV_PCB/yolo_training/train/ML450_Bottom1.txt,1,16,30
../../DATASET/WACV_PCB/yolo_training/train/ML450_Bottom1.txt,1,28,59
../../DATASET/WACV_PCB/yolo_training/train/ML450_Bottom1.txt,1,27,59
../../DATASET/WACV_PCB/yolo_training/train/ML450_Bottom1.txt,1,28,58
../../DATASET/WACV_PCB/yolo_training/train/ML450_Bottom1.txt,1,20,50
../../DATASET/WACV_PCB/yolo_training/train/ML450_Bottom1.txt,1,13,30
../../DATASET/WACV_PCB/yolo_training/train/ML450_Bottom1.txt,1,15,30
../../DATASET/WACV_PCB/yolo_training/train/ML450_Bottom1.txt,1,13,29
../../DATASET/WACV_PCB/yolo_training/train/ML450_Bottom1.txt,1,13,29
../../DATASET/WACV_PCB/yolo_training/train/ML450_Bottom1.txt,1,35,13
../../DATASET/WACV_PCB/yolo_training/train/ML450_Bottom1.txt,1,13,29
../../DATASET/WACV_PCB/yolo_training/train/ML450_Bottom1.txt,1,19,50
../../DATASET/WACV_PCB/yolo_training/train/ML450_Bottom1.txt,1,19,50
../../DATASET/WACV_PCB/yolo_training/train/ML450_Bottom1.txt,1,17,48
../../DATASET/WACV_PCB/yolo_training/train/ML450_Bottom1.txt,1,20,51
../../DATASET/WACV_PCB/yolo_training/train/ML450_Bottom1.txt,1,20,48
../../DATASET/WACV_PCB/yolo_training/train/ML450_Bottom1.txt,1,19,49
